0000000 a283 90fd 26bd eef2 09fd ee66 068c 64fc
0000010 16ae 0cd5 1ef8 34d2 3cc7 c2ab f765 e206
0000020 cbb9 a7bc 20dc 11f5 bc5d ddec 33ba 9642
0000030 09bd dc57 0f2c c475 0a92 f1a2 cd59 2198
0000040 f8de 1ce2 3e60 9f86 2401 7d3a 3c1e c475
0000050 b9c1 a564 40c8 8c68 49d0 a435 4417 4a4e
0000060 c897 b749 d264 e00a ec9e 7b27 d230 3a1c
0000070 9408 d84c 42db b44e 0235 629f 92dc d718
0000080 f82d 6a33 a86e 88c0 adc5 46e8 e64c 1ea5
0000090 13fd bf89 8fb7 7307 2c07 0e45 33a3 b4e4
00000a0 d3fc 01ea 8aa9 dc4b b14d 2b16 220f c32a
00000b0 b20e faf9 5af3 d371 b0de 277f 937d f119
00000c0 bdab 477e ba82 c495 2c7b 5b1c 2650 9805
00000d0 0e04 cc37 951f 997f f6df 5823 a2ce 9540
00000e0 7d79 5044 b24d 41d1 2ab5 e7cd 8064 ee51
00000f0 ca6f ff85 2384 9c32 57a8 5750 9f4a 94f3
0000100 e20d 1b1e 5a21 deb6 ea5b d771 4ac9 72fe
0000110 2066 7ba9 3c8c 1e47 82d4 e4b6 7e96 5adf
0000120 0862 7e6f 1fe5 c96b 3b77 53a3 ad31 b438
0000130 69eb 071f 7537 271e 7885 6cb5 8330 7a3d
0000140 70ad 5323 f1bb ed5e d0a4 a9bd adae ac4b
0000150 f1b3 6505 7e3f 5059 cf68 f0cf d246 15ed
0000160 88c9 e913 211d 416d 0bb6 5787 1165 a422
0000170 ed93 d411 3908 7cc4 992f c682 8fa4 184d
0000180 9056 3c35 8f9b 92ae 03dd 3298 91dc 88b4
0000190 a83e 488f 8af6 8fe2 c12e b757 5d64 7dcf
00001a0 ae74 791c 829d 3afd 059f 9903 d9b6 98b1
00001b0 57e3 f772 265d ec6c 82d9 d0a2 b9de 2e00
00001c0 7962 64c6 e8fe ff51 7c94 8252 68ea 16f0
00001d0 56bb 9813 3297 41cc 90e0 a821 953b 4a1f
00001e0 a5e1 b3d5 7259 bbfd 2884 cba8 2836 75f6
00001f0 913c 03fc 837f 04f3 77a9 f3e0 5f15 3530
0000200 b9b0 ff8d 0662 c728 4694 7efa 50f6 2688
0000210 0758 dab7 8fe1 f82e 1001 88b3 abce 0022
0000220 cfa1 8260 ceb9 2514 2c0f bedf 7909 b270
0000230 1c53 7100 bfe5 897c 9e9c d15d ecdd aca7
0000240 bd54 eb8b 1a99 8938 d5de f1d7 b088 99a4
0000250 387e 409f 3f59 c992 7065 e794 828f d1e2
0000260 dec3 fd61 840a 68d4 cbdd 5c1e 3686 2135
0000270 dbfc 1b3f a10c 7f47 3c0d a6d9 0a29 1679
0000280 46c8 2c70 cc9d 1b1d c0ff c06f f7f3 c951
0000290 c322 1013 8052 6669 fe52 340c 2008 221b
00002a0 ec7a a010 ba91 08b0 e561 a554 0824 bc1d
00002b0 5ddc fbd7 0ea4 9186 7f81 77c2 0066 3432
00002c0 2036 90be e89c 7948 a5ae b7d4 6438 c174
00002d0 ba13 075e ddc9 d439 806e c272 155a 75a2
00002e0 3504 598b 2595 8ebf a940 ca94 0d4a 6658
00002f0 f9c4 59f4 7f1b e1f5 ef7c 0743 b045 71cf
0000300 ac6f c0cc 7c66 71b3 0ba9 5dfd 431c db36
0000310 2772 698a 6ce1 1fb8 c0c2 9f72 d47b ec0f
0000320 2b05 bc03 5fa9 3821 0332 e33c 595e 424c
0000330 8056 4a4c 28a6 3b10 dbc9 466d 0f7f a302
0000340 9609 f21f b6f8 e202 fad9 bbc3 4516 2184
0000350 98ea 2c6f 33f2 e018 896d 88a1 09c9 eb0c
0000360 bb74 826e f410 5e0f caf3 849f e74f b259
0000370 ac93 bd41 7b0f bf67 f2f6 9cef f089 651f
0000380 f65a 17cb 121a ac13 73b8 ff26 f515 acbf
0000390 d3a4 3e49 6fc1 d3f4 c0c5 05ae 5ede 705a
00003a0 755b 0a52 9677 efc0 edc8 5612 7fc5 5e81
00003b0 34ff 29c3 8140 e8e7 051d 25e3 ac71 1357
00003c0 6069 b3b3 c211 dcfa c85c 0fc7 3d6d 00c6
00003d0 57c9 89df e824 329d 5e83 cbb4 0620 cbe8
00003e0 d71c 75f0 0433 8d29 1d5e 4c4e ca84 cc21
00003f0 7fef baf2 a674 9505 1678 6b35 1d6e d0a0
0000400 8e97 dcc9 6d60 56ba 84e3 9bc9 e938 2fa1
0000410 b56f b7f9 723c 46d5 1d0d 432a ab2a 0018
0000420 8e3a d923 ef70 57b5 c700 0a92 ddae 994a
0000430 8f32 4dee 2147 f47f 42f9 6d75 d634 a89c
0000440 3138 34b7 5da4 30dd b37e 9f44 1a51 7d2e
0000450 169f 9deb 0c05 5348 8abd e142 2d74 3909
0000460 bc35 aab6 0790 3792 9446 792f 1528 93e5
0000470 5dd0 0051 7077 e0c9 adad 1725 454c cbe9
0000480 0760 bb8f 96f1 8ff8 0376 9ca8 8401 1dd4
0000490 341e f9de e563 5696 1f44 3189 2550 f7b1
00004a0 cb14 1476 2673 fd34 c976 c602 c665 5bc2
00004b0 5c0b 1ea3 893d 6d66 a057 e5e4 037c 79ce
00004c0 e95b 3d38 d84b 987c 6170 5d8f 40b9 e5ed
00004d0 4dd3 bbc6 251e 5418 8218 bbbd 1466 b476
00004e0 f13c 6ae0 8e32 bf1d d8c6 00af f4c2 f6fb
00004f0 bd41 a11a 11f7 8a1e dbce 7d80 1c5f 94f7
0000500 dd93 6023 7cc9 de54 6374 bdce fa87 1fac
0000510 097f 55f9 392f b081 9615 b010 1270 b123
0000520 bd06 63d8 0c33 578f ad06 6174 dadd 71d2
0000530 275b 2209 d95e deb6 59e0 0602 697d 61de
0000540 d929 f26f 0c4a 54e2 3b16 3619 11ef 712f
0000550 6bb7 4a77 aed8 cee8 c523 31c5 749e a143
0000560 1abe 1207 3c56 af89 3924 90ac 40e2 ae14
0000570 a670 970f ffa3 99e9 ffb7 378d e8b8 d07e
0000580 2e34 8e15 6686 c3d4 acd7 a0b7 220c 9030
0000590 c03e ba28 9e22 c646 a758 60d3 8afd d1c8
00005a0 c8fa e65a 61cf 2d1d 9adb dbf0 f975 0276
00005b0 f04d 3a5b f4fd bfda 726c b8e8 9199 0a54
00005c0 79f5 1cb0 0ac5 ccb5 e71a 6f54 e77b 1070
00005d0 8cad f9e0 8554 588a d663 bd42 59ce 846c
00005e0 54ed 5495 818d c2d3 7e2a dda6 e6f2 1d2e
00005f0 e3a5 4e71 b159 6d90 08cb 2fc0 0fde 6d94
0000600 4e12 e62e 1ead 71e4 9b0a 5793 8575 c0d3
0000610 8fc4 7171 548e be2d 630f 2b40 84e2 dcb7
0000620 34c1 8640 9554 c028 2594 0ece c34d bddd
0000630 645b eb5a bfbc a32c 5460 8b96 8cca 6f67
0000640 4d70 3711 071d 7a95 e320 5c74 0e76 4a51
0000650 c28b e2af 41c2 dd76 33a6 9b35 ba43 b78b
0000660 1157 26da 2f9e 014e 4aba 644f 5d1f 121d
0000670 c1e7 ee23 d438 b415 0f8d c2cf 8c98 c29f
0000680 5f08 5efe b03f 48a2 8d79 6aef deb2 9e03
0000690 3aeb 669f a437 7f09 b971 e9c1 62c9 0112
00006a0 e777 9f99 659a b868 e463 7930 ae55 f1f6
00006b0 4d92 8ec5 d106 a84d 95b5 5703 9b18 7efd
00006c0 d63a ab08 bbca 22a7 1673 b0a7 b9c5 c1ba
00006d0 afc0 3a6d 266c 8088 fc4a 2bb1 fe66 1472
00006e0 00d8 53d9 f67e 0e48 67e2 0002 9bad cc87
00006f0 5332 4cfa dc3b 8a6f bcb9 ffab 10b9 f7db
0000700 e300 8460 9d35 f27b 89e2 e604 beb6 089f
0000710 3df1 4aad 514c 3bd4 c411 8a8f 2385 6a2e
0000720 611e 6ad5 4dfe a6ad 2b8c 42bc 0cfd e4a9
0000730 5e00 8e85 5a9d 6a94 b7e0 2f5f 8aeb ad1c
0000740 ec2e ada2 b317 4a01 8fc5 70d6 fef4 678f
0000750 cd76 c819 7a54 6ade 4a11 d13c d062 5f28
0000760 114b 5dd2 1487 c792 6130 cfa3 37c2 bc43
0000770 545f db3e 46ae af25 511b 88ac 69b6 6e8e
0000780 54bd 67f5 73ff bfc7 90b5 8e2a 9dac 1a25
0000790 ea9b a4ae 04f8 57e5 f54c 82ae c879 bbdf
00007a0 9e89 838f 3933 8416 eedb 2ef4 11fd c6e6
00007b0 ec76 4851 9cb0 7574 db48 b195 dc86 f2f4
00007c0 8eb8 fe7e ef81 3b62 4d4d e9f2 f5d4 8229
00007d0 eb32 064e 7601 c8fa 7df1 7e0c 915b 65f6
00007e0 c6d9 b8cd b126 fc63 aa87 583f 7ff5 c696
00007f0 666b ca95 a8b5 7ee7 c32a 81b4 5c2e 2215
0000800 2871 b262 3a6c 7b15 3d61 b2ac 9435 c30a
0000810 3a76 ac4c cb29 461d 0fa1 0bcd 87a2 d2d8
0000820 f127 2a5c e1a2 448e 33a7 2f85 bc7e 75e2
0000830 f172 3afb 76d9 8d95 d18f 0817 18fd 887a
0000840 cd31 61b5 fd2c 6794 c68a da73 cf7c ad0d
0000850 6dd1 f550 23be 8136 6baf 5356 cd69 ab0e
0000860 3d9b 222a e72e cb53 c6c5 bf94 9930 d47b
0000870 1a68 8450 a193 3800 d420 3a8b cc7c 5dc3
0000880 a001 6eae cbf9 16f8 bbf7 8da2 b714 0a66
0000890 abd2 9620 f035 295c d9a5 590f 74c4 1314
00008a0 1ecc f0aa aa7d 02c7 2702 c5fd 7bdb 08e1
00008b0 dba1 b6b1 a75e 88f9 992a 8c16 30df cf6e
00008c0 c3f4 21e0 c3e7 9ba1 ef5e 3138 b7b3 3b01
00008d0 96df 0bbd 17d3 7bd1 108a 178c b8d8 a491
00008e0 e821 3808 cf6d 1170 933d 2e65 6991 f689
00008f0 57f0 0af6 96f6 e189 132f b9f3 31ed 2410
0000900 db2e 9f3e dbef a537 5d4b 336e bcf6 243d
0000910 273b bbd6 15b7 3f25 3fb0 fe61 fb40 e3aa
0000920 6329 45b4 5771 921a 94e2 4d35 795d 90f1
0000930 31fb 5c33 99b8 33e5 7e44 623a f29d d5b3
0000940 6665 4c13 3ad2 ce37 df5e 5f3f 7868 6749
0000950 910b d727 7ca2 05ab 1d4f 42d5 bfce 57a8
0000960 94a9 5dca 750d 1e6a 23f8 6096 ae63 2c09
0000970 f1b1 a088 986d 606b 9df0 74dd ad3a a2b8
0000980 58f5 ec7e 8b72 4d1d 878e 8d5e 326b 4c69
0000990 3038 89bb 5f0f c559 ca12 6623 b6a3 5c67
00009a0 8834 f304 639f 3546 d85f 4eff 576a 30de
00009b0 8f15 cad5 248b a990 ef2c 4065 e871 8163
00009c0 ba69 1a36 947c d3fa 466e 1ad2 cd97 f4ab
00009d0 947a 6eac e5b8 23e5 dcc2 5da5 1513 6241
00009e0 484f 166f d640 6a32 88e2 76d4 06e6 bb66
00009f0 b43c f332 8cff 0ad2 6532 a3b1 6e77 a19f
0000a00 22ad 33f0 6886 8983 1d99 2f58 0d60 5b0d
0000a10 0454 f207 efe2 5ac4 ece7 51ae 6293 cba7
0000a20 f0a5 e6ea 8758 0d78 cf99 c815 7a7a b092
0000a30 5202 b4db b0f2 6b7b 9d1e b870 9984 5fbe
0000a40 45aa 2a4c 0a5b d3fb ebae 487f 4004 0978
0000a50 8bf0 ac38 9204 5085 55f5 3252 390c b805
0000a60 05da e15a 824e 1da4 f09e 2505 e2e6 0edd
0000a70 9552 ff70 5620 a948 2195 b409 909a 577e
0000a80 0122 b7fc a548 878c 112e 4dd2 7eb1 ec30
0000a90 b1bc fc3e 13b5 3a77 2a68 6425 659c efe2
0000aa0 fb36 39b5 1879 a829 8595 55e5 4f98 6f78
0000ab0 37f0 2bc7 586e e569 c58c 967e 43f5 4c2f
0000ac0 8f45 bb7d d353 5390 9d08 1acb 3de1 005f
0000ad0 a7b9 feaa db97 6bd0 bd35 b7d7 cfc7 fcb7
0000ae0 0da0 df83 7fcb 6f82 0ae2 7b67 7145 bb89
0000af0 5d46 77e4 5408 5eac 8cc0 a3b2 72ed 3e28
0000b00 a6ed 9760 15c6 1f5a 2b50 6efe 01bb fe14
0000b10 4909 d0ad 2d76 8352 1c79 ce66 95ae f132
0000b20 d3a5 695f c5e4 ff1d 30c8 bd66 c54c f2f2
0000b30 798a a27f 6a5d f272 073d 237b 4726 4f44
0000b40 5aaf 78d5 55c5 8b0f f38f 6c08 83b8 daaf
0000b50 4f72 5a61 1957 fc41 19c6 dc6d 97e2 9af6
0000b60 4ffb 4beb db7a d021 af9f aacb 32de 8d2b
0000b70 9a17 67db 728d 32fb cdb0 28ca a77f 4a1f
0000b80 2b72 2dd0 ca65 b851 0b2a 88fd 3954 1724
0000b90 1fa8 a7ae 4c11 3da1 e797 95ad 887c 8321
0000ba0 d3d8 c33b 1ac2 0a63 d1a0 c38c a11e 1b7d
0000bb0 d293 6408 a0e4 256d 766d ee3d 6397 d203
0000bc0 0290 4478 a7f1 1b44 56a7 1edb 4ba2 e7a6
0000bd0 9a06 020e b2a0 2c13 5e47 f71a 4741 75b2
0000be0 44aa f1bf dfb3 e932 aec6 9a08 73b8 2d50
0000bf0 056f 0793 cf39 d7dd a1d1 41b7 13cd f159
0000c00 dc29 ef6e 8be2 8057 c4fd 2b7b 350c ddca
0000c10 a31a db6d 8f5b d441 a5d7 9311 2575 91f1
0000c20 d506 1699 5c6d f515 fdcb 3eb2 93b3 de8b
0000c30 588b 706e f724 9ab1 b034 aa39 d27a f99d
0000c40 ffd7 462f d68f 9435 4c61 5a4c 6f03 8972
0000c50 1056 cf6c 1ce5 a867 cd76 e69a 15ad d5f0
0000c60 f08c 18f8 ce5b e8d8 fe13 7cfb 7d78 9018
0000c70 693c f9f9 de5f 8e95 264a da42 a732 4304
0000c80 d3c3 24d0 c6fe a2fe 250d 5e23 c1e7 abfe
0000c90 3c0a df8a 0cf2 b3ca 523a 48bd 8543 eb8a
0000ca0 295b 852d db0f a0a0 6f78 f748 7e07 4fea
0000cb0 c1c2 f653 24a7 174b a858 ff8f 29df 2bb8
0000cc0 0c9d d5ed ab3f 5ac6 0e41 99f1 c4d7 f940
0000cd0 75d7 f24c 9b44 17d3 bafe 81f8 87fe 9859
0000ce0 42a5 1d18 bcc9 3260 8104 8dc0 ceac 61e0
0000cf0 99e1 56de 2edc 9983 bdc4 a6b7 9dd7 4387
0000d00 9bda da6a b8c7 5502 7be6 d48d 7e46 f4b6
0000d10 0eae 4c7a 8d8d 5765 bdbb 285b 7343 9c4f
0000d20 904e c99f ec3c 9a32 c1d2 88ff f048 4e6c
0000d30 994c 2020 6e43 ac5c 6514 3cbc ea98 5668
0000d40 dd0f ccff d97e 2054 6eb7 2a58 9646 f74b
0000d50 31e2 8191 f57f 2e74 5ebe 4ae7 7cd0 2151
0000d60 4359 b216 9395 4dc7 cfa8 ba64 60b9 e139
0000d70 4fc5 1801 5a39 7053 7295 5745 f2ff d290
0000d80 0492 97a2 a515 306d d126 dd4e c01a b354
0000d90 d09f 007c 96c2 008f 7850 1cad 1aa1 1355
0000da0 d3f9 6dbd 5c96 3785 af57 70cd 405c 15a9
0000db0 7cf4 7709 7af2 35c6 1f7c 3f76 ad43 19c7
0000dc0 5026 51ed a170 9d16 c228 f934 6346 295f
0000dd0 a866 dd8f 30be 5a3e 5b11 1ab2 5680 4aef
0000de0 2ec0 e6d3 8424 7dca bd1f 17b5 75b4 7026
0000df0 b126 d994 926a 1177 8c8c 196f fe8d 1401
0000e00 52a7 af6b bbf2 b0bc 6d01 27b3 8767 5ab2
0000e10 3df5 d934 0444 d3dc d70a 1956 4b04 7496
0000e20 e2f7 1e2b 0992 d80a d635 54f8 6faf 674d
0000e30 9fcd a89e e959 6c9b f874 77dd 4351 8cd0
0000e40 636b dd62 99d0 d530 2503 9bdb 2d30 ffa2
0000e50 85eb a0c3 fb0a d8c0 4304 d5f8 dc5c 3b9c
0000e60 5851 f7d1 ba57 ca9a 2bb3 396b 413d 5d57
0000e70 8f09 ee0d 717e aebb b3fc f3fc 9800 83da
0000e80 b387 14d5 8d77 a37f e92b 3e9b 2b6b de26
0000e90 6cc4 ca37 cb31 f870 1f0f 0e64 a584 3128
0000ea0 2aa5 320b 82ee f6cb 9988 9edf 80c6 2005
0000eb0 22f6 13b7 b79b 3e4c 8aca 0253 a047 d8c2
0000ec0 26fc 58e4 6501 a685 2d6a 325a a4e6 8004
0000ed0 6c77 c2c3 0df3 4592 38c0 7acd 801c 5dfa
0000ee0 96e6 5a71 3b88 40fa e55a 8a8d a7a9 fdfb
0000ef0 dd45 f0b6 b351 1b23 aaf3 4451 f18c 571a
0000f00 1d78 13d5 7b6e aa52 cb93 dbb0 5380 5b03
0000f10 e0ba a2e4 e182 04d2 7a7c a66c afc0 8ae7
0000f20 d1dc a347 dcd2 7665 3bfa d974 f7ae 8cb0
0000f30 5cfd 453f f0a0 5bf0 6346 e304 b1a9 1c93
0000f40 cb6e 7655 1b56 08d9 efe4 fe3e 865b 04f6
0000f50 5b76 f242 6f33 ff26 6c14 1492 56e0 0713
0000f60 62f6 dbde 1c1d cfbf ccdc f005 69f2 6ba8
0000f70 b0f2 d739 d868 a668 52ec 3845 0d22 aecf
0000f80 5e85 ec87 7f6e aa2b b545 6ccd 93f0 9f8e
0000f90 f956 b0bc 1697 197f 9ef5 e120 cd6a b0a2
0000fa0 18cb ee2e 33bf c441 27b7 9606 abe1 341f
0000fb0 6a73 9e66 a07f 0cbb 6693 3312 1fef 3b5a
0000fc0 7a29 ecbd 0ce7 a606 b612 23df 68b0 d5d2
0000fd0 2980 0bc5 a9e0 6670 f872 8b98 2a3a 9ce2
0000fe0 5095 44a4 4e22 8c82 95ce 36a0 9130 83f1
0000ff0 e7fe 9756 40cc d151 14e2 03bb 8b74 5d6c
0001000 8e45 b69a b694 0e62 bae0 b336 bd86 b556
0001010 316d 0f24 6dbb e113 e05f 55df 02d9 947e
0001020 f134 a5f4 7697 c751 d90c 067b cff3 a262
0001030 827b 3e79 cc8e 8ef0 0aa8 4c41 2097 0d97
0001040 990e b1a3 bd78 1b90 af01 dcd0 03d8 968e
0001050 674e de11 9407 b7e2 a685 a3f7 005f d923
0001060 dec0 db32 67cd 2c1a 1ab1 b6b9 220e 9514
0001070 b8de 809a 82f4 f7dd 4fcc 1162 66bf e8f4
0001080 6f8d 6653 d6b3 a1a7 194c 3c12 33ec 0bd0
0001090 2d51 18f0 aed1 f619 7642 6b33 e170 83e3
00010a0 c17d 43da a7e5 8afc 4b10 df6d b58f 1244
00010b0 b662 f304 52e9 1701 6085 e097 5ff4 2647
00010c0 5bce 06ae 30d3 d6b9 9a08 3851 bb3f 6c7f
00010d0 db21 55da 07e7 6309 3831 6ccd 7649 c16c
00010e0 d516 dfc3 a658 dd62 19cf d159 e083 5c7b
00010f0 8977 f264 9645 deba 6a83 976d b1ae 8b48
0001100 fdd0 0ba2 beac 5018 7127 adb5 7b3f b457
0001110 026d ec2e 9981 7286 8b74 2777 48e4 6dd3
0001120 fc9b 1032 6918 c282 2f5b ec18 7769 d9ad
0001130 ba3b 3fdd 15db cbe4 c116 baa7 d8d1 07e6
0001140 aeb9 6e10 7b8e b918 5b82 8df8 11d1 a112
0001150 eb9c 869d 0b19 2697 6831 985d 9e7d 4031
0001160 35f4 e988 e7ed 8683 2eaa 093d 9c8c 0494
0001170 7cf0 eb04 f946 8901 c14d 2e84 ebe1 8134
0001180 34b9 1452 64ef f9b1 c549 f394 b352 bcd4
0001190 ca89 31b0 95da da20 0d54 cec1 91a3 1807
00011a0 9921 4655 5239 1ebd 5b49 f608 84b1 ab9c
00011b0 8fc8 6f89 03cc 76ee 7311 3307 c046 cb7a
00011c0 ff6e 8190 5bb6 099d 7f64 a0a9 e727 3924
00011d0 9aa0 fa13 a658 9a46 0af5 0fa9 dd0b ce2e
00011e0 0d6c 38c7 59cb a983 b1f7 ec96 f396 dc00
00011f0 f9c2 f4b7 44b3 9f53 f78b 2285 3a18 2de2
0001200 4946 2858 012c 94c0 c5b5 b849 6166 3f03
0001210 e47b 84d6 a1a6 de83 5c7a 7796 1d5b 38d3
0001220 295a 257c ad43 bdf9 81d6 8eda c954 2664
0001230 f9d7 5a31 047b 6499 7a11 bd7f b770 8108
0001240 6e93 cb70 16e3 593a dd1a dffb 565e 1c84
0001250 9ab1 3072 45f0 d023 93ed 7942 7f18 4eea
0001260 fd82 1f88 96e1 c925 86b8 037b 93e1 5a89
