0000000 b463 d198 d20f cd64 ea67 6726 07b8 cfb1
0000010 df91 1ddd 9c0c 323b 64b6 24cc 85c2 2c9b
0000020 b108 97b7 05ae ecbc 355f 0617 3ec3 b8b5
0000030 4040 144f 85e0 11f4 f4e7 08bb 50f3 e09c
0000040 82a1 e5bc 6880 923a 6ca0 51dc 1d7e 4807
0000050 eef0 b42f 6811 62bb 9da6 72f8 2151 edc8
0000060 ce00 eed1 6976 452d 3def 94c4 cac7 fca3
0000070 1e7d c7a0 3c50 7efc e93a a12c 4b34 dd82
0000080 1807 e48d e9f2 afc4 b57b 7fc7 3110 4ce3
0000090 62ab 2989 99ba 2038 29b3 e2fd 2f82 bb1c
00000a0 01c1 ede8 65ba 4383 6115 55b7 1257 1237
00000b0 b387 bb17 17b4 c86f c518 a420 9420 072c
00000c0 ab8e 080c 0945 2ca6 80ef 6536 866f 9492
00000d0 784d ff88 ec14 6e81 21b6 cc0b 6550 dddf
00000e0 6b0b a6c4 7a22 3d1a a65d 53ac 318d 3223
00000f0 78f1 0ebe 9495 aeab 4755 c0c9 0def 30c2
0000100 3e6a 7518 d08c 28ac bdce 4db4 36c4 895b
0000110 d4fa 59e9 4917 3535 d38d 9f6a ece2 4314
0000120 454d 74a0 ada2 f63b 65e5 3be5 d002 7340
0000130 d746 2c43 1fab d9f9 b9a2 3db9 585c 81e9
0000140 2550 ee00 4ffb e0c6 15a0 2281 835a a086
0000150 4aed c68b 9c78 9809 1581 a2a6 5222 7c0f
0000160 033b 3f89 d4f0 da96 47e4 e414 693b 9cd7
0000170 9403 7a32 5f0b c888 4e52 bc6e d7d1 d7bf
0000180 8c53 ae21 12b2 cd3e 78fb 9f56 d9ad 5eca
0000190 58aa 909a ce38 8339 2e8e bba0 e7f8 f180
00001a0 cdd6 eb10 d6f6 e3e3 a272 3e9b 1c39 8c84
00001b0 3fbd 4359 f0ec 5d85 5b98 ecc8 230b 700b
00001c0 68bd 7f45 d28f 454f 1e4e 3e22 a1dd fa02
00001d0 83f4 49ac dbc9 0b9c 5787 3732 2755 77f2
00001e0 45d7 8fc3 e190 86e0 0c5f 596e 487d 4fa3
00001f0 7516 64fc fe75 38ad 04c7 3292 78a0 1cab
