0000000 8d72 f651 5538 e697 7acb 4fc3 0c0f 68f5
0000010 717a d5a5 4574 7e76 a677 89bf 24b0 d8fe
0000020 1441 db5d 13d2 9099 734b 29b8 47a2 3d6d
0000030 dddc 4eed c927 85d7 57f2 ad5b 3537 40f8
0000040 5290 bb29 e4a9 bf6f 69ab e958 77de bfd5
0000050 fd73 ca5a 8a6f c1ca 5089 3059 526c efb4
0000060 0b2f cb8e 9efe b6e5 a3c2 d8e5 1517 b6e4
0000070 d3ef 43b8 2be6 3998 845d ef41 e4b8 f0c3
0000080 342c 924b ab44 e9b7 e187 8fc2 8063 cc56
0000090 6474 7bad 70db f56a 7e31 3587 aa85 6e90
00000a0 cbd6 5850 1812 ddf4 1290 9eb7 909a 5957
00000b0 635b 0c11 d8b2 7843 be5d ecbf a6c2 fb48
00000c0 f5ff f05e 7a4f e099 df98 7aeb 6f07 cb55
00000d0 e428 46b3 782f e7e6 c696 de62 f8db 7226
00000e0 fa64 893c 9d7c 37a2 dcd0 5f8b 5c40 3b9d
00000f0 f28c c64f 2e5f aad4 e85d c38d 37be 94cc
0000100 490f 6c05 ea6e 1fff adad ae1d a084 7279
0000110 56fa 70f4 554c 3d24 e668 0253 98d1 2cd1
0000120 04b2 baef 8e1d b6f9 fafd 0166 3e04 9050
0000130 8929 0f75 da96 ae19 6524 3e35 d03e 7329
0000140 e7d1 b97f 94fe eafa a910 f90e 86c0 ea67
0000150 6a30 0a05 acb4 3a53 9230 f802 757b aef9
0000160 5610 3bfa 5535 0781 dd26 204e 8077 3104
0000170 748b ff28 eb8b 33ac e9be 6081 667c 62d2
0000180 1df4 8369 d10b c166 f28d fbe8 a9f4 b51c
0000190 4374 19c6 d4ba fcb7 d515 c89a 3d94 377a
00001a0 067c f511 050d c26e f5f5 ffdc 9fa6 74be
00001b0 d62f a231 c6bf e661 2e82 8a83 295f d04b
00001c0 f166 ab6f dbcb a990 ac94 43dc e4d7 d686
00001d0 c3b4 62cf 1c3d 7997 60e4 f532 5060 9c21
00001e0 57e8 04ce f018 74eb 7c2c 7bf3 166a fa93
00001f0 ee2f a610 83e9 b054 889b b753 a7ec fa47
0000200 1b69 4e01 7063 82b3 2027 2036 e7bf d04f
