0000000 b54a 6d47 3641 8723 3b07 d73d 4505 0767
0000010 d48a 2ae2 014d 3921 2809 e29c d9e6 dfcf
0000020 6a00 9a8d 2743 a770 ba0a 60b5 58fb cec4
0000030 896a b128 68ab 468c 139c ec07 4eb4 bcaf
0000040 ecb4 520d d33e 01cb a6df 5027 a1d2 4fea
0000050 e7a1 8619 5ff9 b2f4 3616 3910 dd4b 97dc
0000060 1cb5 77ee d456 84e9 2d4a f7f2 ce57 d609
0000070 2a2d 6803 34a9 3a6a 758c 6341 2f92 e880
0000080 85f9 af7f 4043 e640 8177 2cb3 7c81 92d2
0000090 3c73 c3d9 91fe a515 7969 633e 794d ea83
00000a0 f7ef ea84 2931 02d0 00f3 1240 4828 1416
00000b0 d47b ad11 f203 1fd2 87d6 f152 4873 4888
00000c0 f864 bf9f 61e1 b168 3ab1 03ba da71 8484
00000d0 c160 8fd4 852d e49b 63d0 c231 f7b6 c3a1
00000e0 ab29 719e 7b0c bbe0 4e33 1916 3d6a 6f03
00000f0 ca7f 2047 e138 e8b1 8f85 bfca 20b8 cfe2
0000100 ee42 7510 d93f 971e 5d97 fc76 c148 c271
0000110 511c 3efe cb44 a1d3 f9d0 e768 277e 9733
0000120 2b82 611a ef3d f357 28f3 534c 14b9 7b28
0000130 1043 cfb2 09cb 02c3 ccde 0d77 f0d3 e4a3
0000140 685a 517a ff2e 51b1 aff7 1be2 7a1f 0d00
0000150 1dde 6534 e7a7 db93 61f4 94b0 d9f4 21c1
0000160 8d71 5f4b 94c9 59d3 4e32 b7f2 cd35 21ce
0000170 41ec ce20 da33 c916 fb42 9310 2559 9185
0000180 3839 05bb fc17 52a7 c2e0 33f9 55d1 4a2b
0000190 0140 5e09 ead2 7890 3035 7c94 16eb 0684
00001a0 5152 06e8 9aff fa81 efef f86c d3d0 9823
00001b0 8c13 7b1e e244 4ffb 6f37 4f0a 5c0c 7eb0
00001c0 caf2 d9bb d7e3 2b49 ac3c 601d 3afa 8703
00001d0 07b4 116f f01c 797f 858f 49fd 375f ee43
00001e0 eda2 648b 38e9 1b64 9bda dd83 f956 aca9
00001f0 430b bed0 54b4 22c4 e7bb 8ca7 1fb5 f48e
